unit	cone	cross	a	b	c
H1	78	A	4.007362517	16.29709899	3.591484124
H1	79	G	4.16346408	16.57850617	5.553381971
H1	80	A	3.879860227	16.17206787	3.749488308
H1	81	G	3.932651632	16.45148431	2.946354143
H1	82	G	3.879860227	16.17206787	3.749488308
H1	83	A	3.805066361	18.10159649	3.644087047
H1	84	A	3.79746971	16.97734038	2.766690172
H1	85	A	3.884128053	15.14885721	3.0032443
H1	86	G	3.868470645	14.40123592	3.227999046
H1	87	A	4.007362517	16.29709899	3.591484124
H1	88	G	3.79746971	16.97734038	2.766690172
H1	89	A	3.944386472	17.1461557	2.700971073
H1	90	A	4.288599609	24.04081209	3.471964356
H1	91	G	3.884311265	20.1549392	2.183981152
H1	92	A	3.932651632	16.45148431	2.946354143
H1	93	A	3.932651632	16.45148431	2.946354143
H1	94	G	3.79746971	16.97734038	2.766690172
H1	95	A	3.932651632	16.45148431	2.946354143
H1	96	G	3.77740528	16.2240698	2.954874952
K1	1	A	3.746950677	18.95060637	2.056640083
K1	2	G	3.867231512	17.09354169	2.298210808
K1	3	A	4.086638138	19.26826682	3.764994071
K1	4	G	3.966948719	16.34730725	3.337048947
K1	5	G	3.867231512	17.09354169	2.298210808
K1	6	G	3.968203774	21.58232461	2.172171214
K1	7	A	3.805472604	19.24952589	1.105707696
K1	8	G	3.939053475	19.12669901	2.006549737
K1	9	G	3.939053475	19.12669901	2.006549737
K1	10	A	3.867231512	17.09354169	2.298210808
K1	11	A	3.64688648	16.72460957	2.128911995
K1	12	G	3.867231512	17.09354169	2.298210808
K1	13	G	4.213583851	20.32178875	3.146568046
K1	14	G	3.867231512	17.09354169	2.298210808
K1	15	G	3.823489259	19.9377656	0.914061654
K1	16	A	4.052237564	19.17192421	2.639588693
K1	17	G	3.937884891	16.82489872	2.89766999
K1	18	A	3.928782534	19.20184914	2.954897277
K1	19	G	3.746950677	18.95060637	2.056640083
K1	20	G	3.867231512	17.09354169	2.298210808
K1	21	A	3.867231512	17.09354169	2.298210808
K1	22	A	4.060400415	16.50884328	3.83571427
K1	23	G	4.044421715	20.61828331	3.028286994
K1	24	G	3.746950677	18.95060637	2.056640083
K1	25	G	3.731471996	16.48046254	2.833455199
K1	26	G	4.043846296	21.29673097	1.782294919
K1	27	A	3.939053475	19.12669901	2.006549737
K1	28	A	4.031729911	18.36812777	2.929029146
K1	29	A	4.107452639	22.27979805	1.629735433
K1	30	A	3.937884891	16.82489872	2.89766999
K1	31	A	3.939053475	19.12669901	2.006549737
K1	32	A	4.359596606	22.86203327	3.447994171
K1	33	A	3.765797812	17.15851488	1.595617112
K1	34	G	4.107971803	18.13939372	3.503771466
K1	35	A	3.87303768	18.27529441	3.097403457
K1	36	A	3.939053475	19.12669901	2.006549737
K1	37	G	3.64688648	16.72460957	2.128911995
K1	38	A	3.765774656	17.97487525	1.249245797
K1	39	A	4.031729911	18.36812777	2.929029146
K1	40	G	4.044421715	20.61828331	3.028286994
K1	41	A	3.731471996	16.48046254	2.833455199
K1	42	A	4.029712349	16.0948401	3.88271686
K1	43	A	3.745224051	18.22379575	2.379767048
K1	44	G	3.731471996	16.48046254	2.833455199
K1	45	G	3.746950677	18.95060637	2.056640083
K1	46	A	4.043846296	21.29673097	1.782294919
K1	47	G	3.765797812	17.15851488	1.595617112
K1	48	A	4.107971803	18.13939372	3.503771466
K1	49	G	3.841406813	15.78597039	3.917666142
K1	50	G	3.564849583	18.96975269	0.835010387
K1	51	G	3.937884891	16.82489872	2.89766999
K1	52	G	3.678955738	17.47295548	3.55114028
K1	53	G	4.62605272	21.81792968	5.467180609
K1	54	A	3.810322021	19.26112399	1.130215534
K1	55	A	4.047261774	17.23900618	3.360052585
K1	56	G	4.025465754	17.77059802	4.262406642
K1	57	G	4.113664571	20.33047784	2.637674737
K1	58	G	3.939053475	19.12669901	2.006549737
K1	59	A	3.763473965	15.98765066	3.292264308
K1	60	A	4.472404874	20.43177229	5.227890693
K1	61	A	3.763473965	15.98765066	3.292264308
K1	62	A	3.763473965	15.98765066	3.292264308
K1	63	A	4.052237564	19.17192421	2.639588693
K1	64	A	3.745224051	18.22379575	2.379767048
K1	65	A	3.731471996	16.48046254	2.833455199
K1	66	A	3.867231512	17.09354169	2.298210808
K1	67	G	3.944667786	18.45895859	2.370209217
K1	68	G	3.966948719	16.34730725	3.337048947
K1	69	A	4.031729911	18.36812777	2.929029146
K1	70	A	3.64688648	16.72460957	2.128911995
K1	71	G	3.731471996	16.48046254	2.833455199
K1	72	A	3.765797812	17.15851488	1.595617112
