unit	cone	cross	drought_b	survival_time	biomass	log_surv	sqrt_surv	log_biomass	sqrt_biomass
C1	NA	A	18.88941	28	0.0935	1.447158031	5.291502622	-1.029188389	0.305777697
C1	NA	A	18.47938	26	0.0507	1.414973348	5.099019514	-1.294992041	0.225166605
C1	NA	A	18.35016	27	0.0632	1.431363764	5.196152423	-1.199282922	0.251396102
C1	NA	A	16.5282	26	0.1041	1.414973348	5.099019514	-0.98254927	0.322645316
C1	NA	A	16.34294	27	0.0836	1.431363764	5.196152423	-1.077793723	0.289136646
C1	NA	A	18.88941	28	0.0455	1.447158031	5.291502622	-1.341988603	0.21330729
C1	NA	A	18.95559	27	0.0475	1.431363764	5.196152423	-1.32330639	0.217944947
C1	NA	A	19.02965	28	0.057	1.447158031	5.291502622	-1.244125144	0.238746728
C1	NA	A	16.76904	28	0.0577	1.447158031	5.291502622	-1.238824187	0.240208243
C1	NA	A	15.84588	26	0.1138	1.414973348	5.099019514	-0.943857738	0.337342556
C1	NA	A	16.91647	28	0.0679	1.447158031	5.291502622	-1.168130226	0.260576284
C1	NA	A	25.09992	27	0.0343	1.431363764	5.196152423	-1.46470588	0.185202592
C1	NA	A	16.84993	28	0.0622	1.447158031	5.291502622	-1.206209615	0.249399278
C1	NA	A	21.97063	34	0.0279	1.531478917	5.830951895	-1.554395797	0.167032931
C1	NA	A	11.95493	27	0.1529	1.431363764	5.196152423	-0.815592515	0.391024296
C1	NA	A	20.73394	28	0.1283	1.447158031	5.291502622	-0.891773344	0.358189894
C1	NA	A	17.5501	28	0.0989	1.447158031	5.291502622	-1.004803708	0.314483704
C1	NA	A	12.4887	22	0.09	1.342422681	4.69041576	-1.045757491	0.3
C1	NA	A	18.35016	28	0.0539	1.447158031	5.291502622	-1.268411235	0.232163735
C1	NA	A	17.16875	27	0.0528	1.431363764	5.196152423	-1.277366077	0.229782506
C1	NA	G	16.74136	27	0.0545	1.431363764	5.196152423	-1.263603498	0.233452351
C1	NA	G	15.84588	27	0.0895	1.431363764	5.196152423	-1.048176965	0.299165506
C1	NA	G	16.25556	26	0.085	1.414973348	5.099019514	-1.070581074	0.291547595
C1	NA	G	15.59117	27	0.0915	1.431363764	5.196152423	-1.038578906	0.302489669
C1	NA	G	16.19307	28	0.0483	1.447158031	5.291502622	-1.316052869	0.21977261
C1	NA	G	16.5282	26	0.0689	1.414973348	5.099019514	-1.161780778	0.262488095
C1	NA	G	18.15253	28	0.0499	1.447158031	5.291502622	-1.301899454	0.223383079
C1	NA	G	13.21372	21	0.0764	1.322219295	4.582575695	-1.116906641	0.276405499
C1	NA	G	15.68337	28	0.0775	1.447158031	5.291502622	-1.110698297	0.278388218
C1	NA	G	12.20349	26	0.1175	1.414973348	5.099019514	-0.929962133	0.34278273
C1	NA	G	25.48077	34	0.03	1.531478917	5.830951895	-1.522878745	0.173205081
C1	NA	G	18.15253	28	0.0514	1.447158031	5.291502622	-1.289036881	0.226715681
C1	NA	G	21.97063	34	0.0485	1.531478917	5.830951895	-1.314258261	0.220227155
C1	NA	G	18.80792	28	0.1143	1.447158031	5.291502622	-0.94195377	0.33808283
C1	NA	G	17.44435	27	0.0684	1.431363764	5.196152423	-1.164943898	0.261533937
C1	NA	G	17.73461	26	0.085	1.414973348	5.099019514	-1.070581074	0.291547595
C1	NA	G	18.95559	27	0.0537	1.431363764	5.196152423	-1.270025714	0.231732605
C1	NA	G	16.34294	27	0.111	1.431363764	5.196152423	-0.954677021	0.333166625
C1	NA	G	21.17999	29	0.0354	1.462397998	5.385164807	-1.450996738	0.188148877
C1	NA	G	18.64242	26	0.0824	1.414973348	5.099019514	-1.084072788	0.287054002
C1	NA	G	NA	NA	NA	NA	NA	NA	NA
C1	NA	G	17.62895	27	0.0582	1.431363764	5.196152423	-1.235077015	0.241246762
C1	NA	G	16.74136	27	0.0934	1.431363764	5.196152423	-1.029653124	0.305614136
C1	NA	G	16.34294	27	0.1029	1.431363764	5.196152423	-0.987584625	0.320780299
C1	NA	G	16.74136	27	0.0655	1.431363764	5.196152423	-1.1837587	0.255929678
C1	NA	G	18.81694	28	0.045	1.447158031	5.291502622	-1.346787486	0.212132034
C1	NA	G	16.01185	27	0.0859	1.431363764	5.196152423	-1.066006836	0.293087018
C1	NA	G	18.81694	28	0.0851	1.447158031	5.291502622	-1.07007044	0.291719043
C1	NA	G	21.97063	34	0.0462	1.531478917	5.830951895	-1.335358024	0.214941853
C1	NA	G	NA	NA	NA	NA	NA	NA	NA
C1	NA	G	14.00042	22	0.0063	1.342422681	4.69041576	-2.200659451	0.079372539
C1	NA	G	13.9709	26	0.1074	1.414973348	5.099019514	-0.968995719	0.327719392
C1	NA	G	19.02965	28	0.0543	1.447158031	5.291502622	-1.26520017	0.233023604
C1	NA	G	18.4965	27	0.0617	1.431363764	5.196152423	-1.209714836	0.248394847
